Symbol,Year,Month,Avg_Close,Month_High,Month_Low,Avg_Volume,Avg_Return,Avg_Volatility,Avg_RSI,Trading_Days
BAJFINANCE,2020,1,408.96,438.33,386.04,13965176.0,0.16,6.74,48.17,22
BAJFINANCE,2020,2,460.38,481.17,415.38,13263409.0,0.14,8.31,78.09,19
BAJFINANCE,2020,3,328.33,451.32,205.71,48693141.0,-2.95,28.0,22.75,21
BAJFINANCE,2020,4,218.52,251.37,187.65,93157523.0,0.4,13.26,39.33,18
BAJFINANCE,2020,5,197.03,221.28,174.66,108280305.0,-0.81,8.47,42.58,19
BAJFINANCE,2020,6,251.72,306.11,195.62,146584139.0,1.79,13.79,67.51,22
BAJFINANCE,2020,7,314.93,344.76,274.87,122704120.0,0.65,9.38,62.78,23
BAJFINANCE,2020,8,336.41,367.32,307.86,59527779.0,0.36,7.08,61.05,21
BAJFINANCE,2020,9,335.62,360.48,294.54,44791755.0,-0.24,8.28,45.67,22
BAJFINANCE,2020,10,326.03,344.71,303.8,48221930.0,0.07,6.88,48.54,21
BAJFINANCE,2020,11,420.32,485.86,320.77,66296762.0,2.02,16.89,83.4,20
BAJFINANCE,2020,12,492.45,526.27,467.74,32079759.0,0.36,9.25,67.0,22
BAJFINANCE,2021,1,487.57,522.89,459.02,34137705.0,-0.54,9.85,42.22,20
BAJFINANCE,2021,2,536.13,570.32,457.11,28255930.0,0.57,15.62,64.48,20
BAJFINANCE,2021,3,525.52,555.41,499.89,20611788.0,-0.09,9.63,44.74,21
BAJFINANCE,2021,4,479.43,541.21,427.29,34215793.0,0.37,16.43,36.73,19
BAJFINANCE,2021,5,544.64,567.64,515.94,23041377.0,0.17,12.17,68.35,20
BAJFINANCE,2021,6,586.86,612.13,551.04,20174593.0,0.32,10.3,62.62,22
BAJFINANCE,2021,7,602.49,630.88,575.74,13991182.0,0.18,6.98,54.68,21
BAJFINANCE,2021,8,642.46,745.55,594.28,13826727.0,0.92,12.96,65.62,21
BAJFINANCE,2021,9,741.85,784.82,718.27,12519537.0,0.1,13.19,77.9,21
BAJFINANCE,2021,10,756.98,789.82,717.52,12140657.0,-0.17,9.38,53.79,20
BAJFINANCE,2021,11,721.85,760.82,655.24,9208523.0,-0.26,13.28,38.45,20
BAJFINANCE,2021,12,686.67,733.6,637.02,11593500.0,0.01,15.82,43.14,23
BAJFINANCE,2022,1,731.59,789.33,658.16,16217373.0,0.04,21.04,62.99,20
BAJFINANCE,2022,2,689.52,714.97,646.82,11705656.0,0.03,12.21,41.54,20
BAJFINANCE,2022,3,666.44,730.46,580.14,15148373.0,0.2,17.82,52.47,21
BAJFINANCE,2022,4,704.32,744.78,645.59,11655384.0,-0.42,11.92,57.47,19
BAJFINANCE,2022,5,581.01,654.21,538.45,15152367.0,-0.42,18.45,27.43,21
BAJFINANCE,2022,6,553.38,605.17,512.16,12638570.0,-0.5,12.44,44.44,22
BAJFINANCE,2022,7,599.34,714.91,525.35,13967130.0,1.42,13.43,74.89,21
BAJFINANCE,2022,8,714.46,752.13,675.65,11679575.0,0.08,17.52,71.33,20
BAJFINANCE,2022,9,722.07,765.91,691.94,11530268.0,0.03,13.19,54.4,22
BAJFINANCE,2022,10,713.86,748.29,682.51,9520594.0,-0.13,11.77,44.8,19
BAJFINANCE,2022,11,682.68,713.99,650.93,8969315.0,-0.29,8.42,35.93,21
BAJFINANCE,2022,12,647.83,666.65,620.37,9017628.0,-0.09,6.37,36.84,22
BAJFINANCE,2023,1,593.32,655.82,559.32,13573025.0,-0.5,12.26,29.79,21
BAJFINANCE,2023,2,614.93,642.78,555.87,11049752.0,0.2,12.31,60.02,20
BAJFINANCE,2023,3,571.71,611.47,540.19,10067534.0,-0.39,9.62,25.08,21
BAJFINANCE,2023,4,585.37,619.98,554.61,11055208.0,0.67,8.0,63.55,17
BAJFINANCE,2023,5,659.03,691.86,606.19,9926439.0,0.5,9.59,77.93,22
BAJFINANCE,2023,6,699.62,728.58,683.89,6968871.0,0.14,8.07,67.02,21
BAJFINANCE,2023,7,744.35,791.11,708.05,12812290.0,0.11,15.97,56.48,21
BAJFINANCE,2023,8,704.3,724.95,672.55,8631055.0,-0.08,8.74,36.86,22
BAJFINANCE,2023,9,744.17,781.23,707.56,8044051.0,0.44,8.18,72.21,20
BAJFINANCE,2023,10,777.0,810.11,727.09,9471323.0,-0.19,12.01,54.9,20
BAJFINANCE,2023,11,720.04,755.52,685.43,12378444.0,-0.25,8.11,30.2,20
BAJFINANCE,2023,12,728.6,760.96,706.27,10620165.0,0.15,11.62,56.35,20
BAJFINANCE,2024,1,729.74,774.31,672.95,14299747.0,-0.29,13.79,47.59,21
BAJFINANCE,2024,2,657.04,683.33,629.56,12536635.0,-0.25,8.96,35.28,21
BAJFINANCE,2024,3,653.08,726.77,611.91,14839973.0,0.62,10.57,50.04,18
BAJFINANCE,2024,4,705.87,733.71,661.72,13054372.0,-0.2,14.61,66.11,20
BAJFINANCE,2024,5,669.75,731.79,651.19,12179717.0,-0.15,9.29,42.04,21
BAJFINANCE,2024,6,703.59,734.7,630.49,13125470.0,0.37,12.97,59.93,19
