Date,Open,High,Low,Close,Volume,Symbol,MA_7,MA_14,MA_30,Daily_Return,Volatility_7,Price_Range,RSI,MA_Signal,Year,Month
2020-01-02,414.38,419.83,413.89,414.97,8638440.0,BAJFINANCE,414.25,414.25,414.25,0.35,1.02,5.94,99.99,Neutral,2020,1
2020-01-03,412.43,413.87,407.83,409.83,11768500.0,BAJFINANCE,412.78,412.78,412.78,-1.24,2.65,6.04,21.88,Neutral,2020,1
2020-01-06,406.95,410.86,389.34,390.6,28667350.0,BAJFINANCE,407.23,407.23,407.23,-4.69,11.3,21.52,5.58,Neutral,2020,1
2020-01-07,396.3,399.92,390.56,391.67,21490420.0,BAJFINANCE,404.12,404.12,404.12,0.27,12.01,9.36,9.34,Neutral,2020,1
2020-01-08,386.04,396.82,386.04,395.81,16305760.0,BAJFINANCE,402.73,402.73,402.73,1.06,11.26,10.78,21.44,Neutral,2020,1
2020-01-09,401.28,405.39,398.75,403.07,14193880.0,BAJFINANCE,402.78,402.78,402.78,1.83,10.28,6.64,36.34,Neutral,2020,1
2020-01-10,403.64,409.1,402.46,405.08,11066240.0,BAJFINANCE,401.58,403.07,403.07,0.5,9.25,6.64,39.51,Bearish,2020,1
2020-01-13,407.35,408.74,405.2,407.0,6451520.0,BAJFINANCE,400.44,403.51,403.51,0.47,7.69,3.54,42.26,Bearish,2020,1
2020-01-14,407.54,410.71,405.63,409.79,7034340.0,BAJFINANCE,400.43,404.14,404.14,0.69,7.68,5.08,45.84,Bearish,2020,1
2020-01-15,409.49,412.43,407.55,411.18,6169760.0,BAJFINANCE,403.37,404.78,404.78,0.34,7.22,4.88,47.47,Bearish,2020,1
2020-01-16,409.5,413.4,409.3,412.45,5787280.0,BAJFINANCE,406.34,405.41,405.41,0.31,5.72,4.1,48.87,Bullish,2020,1
2020-01-17,412.13,414.58,410.67,413.58,6711290.0,BAJFINANCE,408.88,406.04,406.04,0.27,3.93,3.91,50.05,Bullish,2020,1
